instrument validation (upper bound must equal the known exact value):
       K5: known   1, upper    1  OK
       K6: known   3, upper    3  OK
       K7: known   9, upper    9  OK
       K8: known  18, upper   18  OK
     K4,4: known   4, upper    4  OK
     K5,5: known  16, upper   16  OK

         family   n  |V|  |E|   DS21  upper  verdict
      K_{1,3,n}   1    5    7      0      0  consistent (tight)   (0.0s)
      K_{1,3,n}   2    6   11      1      1  consistent (tight)   (0.0s)
      K_{1,3,n}   3    7   15      3      3  consistent (tight)   (0.1s)
      K_{1,3,n}   4    8   19      6      6  consistent (tight)   (0.1s)
      K_{1,3,n}   5    9   23     10     10  consistent (tight)   (0.2s)
      K_{1,3,n}   6   10   27     15     15  consistent (tight)   (0.4s)
      K_{1,3,n}   7   11   31     21     21  consistent (tight)   (0.5s)
      K_{1,3,n}   8   12   35     28     28  consistent (tight)   (0.8s)
      K_{1,3,n}   9   13   39     36     36  consistent (tight)   (1.0s)
      K_{1,3,n}  10   14   43     45     45  consistent (tight)   (1.3s)
      K_{1,3,n}  11   15   47     55     56  consistent (upper +1)   (1.7s)
      K_{1,3,n}  12   16   51     66     67  consistent (upper +1)   (2.2s)
      K_{2,3,n}   1    6   11      1      1  consistent (tight)   (0.0s)
      K_{2,3,n}   2    7   16      2      2  consistent (tight)   (0.1s)
      K_{2,3,n}   3    8   21      7      7  consistent (tight)   (0.2s)
      K_{2,3,n}   4    9   26     12     12  consistent (tight)   (0.3s)
      K_{2,3,n}   5   10   31     21     21  consistent (tight)   (0.5s)
      K_{2,3,n}   6   11   36     30     30  consistent (tight)   (0.9s)
      K_{2,3,n}   7   12   41     43     43  consistent (tight)   (1.3s)
      K_{2,3,n}   8   13   46     56     56  consistent (tight)   (1.8s)
      K_{2,3,n}   9   14   51     73     73  consistent (tight)   (2.4s)
      K_{2,3,n}  10   15   56     90     91  consistent (upper +1)   (3.1s)
      K_{2,3,n}  11   16   61    111    111  consistent (tight)   (4.1s)
      K_{2,3,n}  12   17   66    132    133  consistent (upper +1)   (5.3s)
      K_{1,4,n}   1    6    9      0      0  consistent (tight)   (0.0s)
      K_{1,4,n}   2    7   14      2      2  consistent (tight)   (0.1s)
      K_{1,4,n}   3    8   19      6      6  consistent (tight)   (0.1s)
      K_{1,4,n}   4    9   24     12     12  consistent (tight)   (0.3s)
      K_{1,4,n}   5   10   29     20     20  consistent (tight)   (0.5s)
      K_{1,4,n}   6   11   34     30     30  consistent (tight)   (0.7s)
      K_{1,4,n}   7   12   39     42     42  consistent (tight)   (1.1s)
      K_{1,4,n}   8   13   44     56     56  consistent (tight)   (1.6s)
      K_{1,4,n}   9   14   49     72     72  consistent (tight)   (2.2s)
      K_{1,4,n}  10   15   54     90     90  consistent (tight)   (2.9s)
      K_{1,4,n}  11   16   59    110    110  consistent (tight)   (3.9s)
      K_{1,4,n}  12   17   64    132    132  consistent (tight)   (5.1s)
    K_{1,1,3,n}   1    6   12      1      1  consistent (tight)   (0.0s)
    K_{1,1,3,n}   2    7   17      3      3  consistent (tight)   (0.1s)
    K_{1,1,3,n}   3    8   22      8      8  consistent (tight)   (0.2s)
    K_{1,1,3,n}   4    9   27     14     14  consistent (tight)   (0.4s)
    K_{1,1,3,n}   5   10   32     23     23  consistent (tight)   (0.6s)
    K_{1,1,3,n}   6   11   37     33     34  consistent (upper +1)   (0.9s)
    K_{1,1,3,n}   7   12   42     46     46  consistent (tight)   (1.3s)
    K_{1,1,3,n}   8   13   47     60     61  consistent (upper +1)   (1.8s)
    K_{1,1,3,n}   9   14   52     77     78  consistent (upper +1)   (2.6s)
    K_{1,1,3,n}  10   15   57     95     97  consistent (upper +2)   (3.4s)
    K_{1,1,3,n}  11   16   62    116    117  consistent (upper +1)   (4.4s)
    K_{1,1,3,n}  12   17   67    138    141  consistent (upper +3)   (5.9s)
      K_{2,4,n}   1    7   14      2      2  consistent (tight)   (0.1s)
      K_{2,4,n}   2    8   20      4      4  consistent (tight)   (0.1s)
      K_{2,4,n}   3    9   26     12     12  consistent (tight)   (0.3s)
      K_{2,4,n}   4   10   32     20     20  consistent (tight)   (0.6s)
      K_{2,4,n}   5   11   38     34     34  consistent (tight)   (1.0s)
      K_{2,4,n}   6   12   44     48     50  consistent (upper +2)   (1.7s)
      K_{2,4,n}   7   13   50     68     70  consistent (upper +2)   (2.5s)
      K_{2,4,n}   8   14   56     88     93  consistent (upper +5)   (3.5s)
      K_{2,4,n}   9   15   62    114    119  consistent (upper +5)   (4.8s)
      K_{2,4,n}  10   16   68    140    145  consistent (upper +5)   (6.7s)
      K_{2,4,n}  11   17   74    172    179  consistent (upper +7)   (8.7s)
      K_{2,4,n}  12   18   80    204    211  consistent (upper +7)   (11.0s)
  K_{1,1,1,1,n}   1    5   10      1      1  consistent (tight)   (0.0s)
  K_{1,1,1,1,n}   2    6   14      2      2  consistent (tight)   (0.1s)
  K_{1,1,1,1,n}   3    7   18      5      5  consistent (tight)   (0.1s)
  K_{1,1,1,1,n}   4    8   22      8      8  consistent (tight)   (0.2s)
  K_{1,1,1,1,n}   5    9   26     13     13  consistent (tight)   (0.3s)
  K_{1,1,1,1,n}   6   10   30     18     18  consistent (tight)   (0.5s)
  K_{1,1,1,1,n}   7   11   34     25     25  consistent (tight)   (0.7s)
  K_{1,1,1,1,n}   8   12   38     32     33  consistent (upper +1)   (1.0s)
  K_{1,1,1,1,n}   9   13   42     41     41  consistent (tight)   (1.3s)
  K_{1,1,1,1,n}  10   14   46     50     50  consistent (tight)   (1.8s)
  K_{1,1,1,1,n}  11   15   50     61     61  consistent (tight)   (2.4s)
  K_{1,1,1,1,n}  12   16   54     72     73  consistent (upper +1)   (2.9s)
  K_{1,1,1,2,n}   1    6   14      2      2  consistent (tight)   (0.1s)
  K_{1,1,1,2,n}   2    7   19      4      4  consistent (tight)   (0.2s)
  K_{1,1,1,2,n}   3    8   24     10     10  consistent (tight)   (0.3s)
  K_{1,1,1,2,n}   4    9   29     16     16  consistent (tight)   (0.5s)
  K_{1,1,1,2,n}   5   10   34     26     26  consistent (tight)   (0.8s)
  K_{1,1,1,2,n}   6   11   39     36     36  consistent (tight)   (1.3s)
