  validate cr(K7) = 9, expected 9  OK
  validate cr(K8) = 18, expected 18  OK
  validate cr(K5,5) = 16, expected 16  OK

       graph  |V|  |E|      A  found  status   verdict
K_(2,2,2)       6   12      0      0    OPEN   reproduces A   (0.0s)
K_(2,2,3)       7   16      2      2  proved   reproduces A   (0.1s)
K_(2,2,4)       8   20      4      4  proved   reproduces A   (0.2s)
K_(2,3,3)       8   21      7      7  proved   reproduces A   (0.2s)
K_(2,2,5)       9   24      8      8    OPEN   reproduces A   (0.3s)
K_(2,3,4)       9   26     12     12  proved   reproduces A   (0.4s)
K_(3,3,3)       9   27     15     15    OPEN   reproduces A   (0.4s)
K_(2,2,6)      10   28     12     12    OPEN   reproduces A   (0.4s)
K_(2,3,5)      10   31     21     21  proved   reproduces A   (0.6s)
K_(2,2,7)      11   32     18     18    OPEN   reproduces A   (0.6s)
K_(2,4,4)      10   32     20     20  proved   reproduces A   (0.7s)
K_(3,3,4)      10   33     25     25    OPEN   reproduces A   (0.7s)
K_(2,2,8)      12   36     24     24    OPEN   reproduces A   (0.9s)
K_(2,3,6)      11   36     30     30  proved   reproduces A   (0.9s)
K_(2,4,5)      11   38     34     34  proved   reproduces A   (1.1s)
K_(3,3,5)      11   39     39     39    OPEN   reproduces A   (1.2s)
K_(3,4,4)      11   40     40     40    OPEN   reproduces A   (1.3s)
K_(2,3,7)      12   41     43     43  proved   reproduces A   (1.4s)
K_(2,4,6)      12   44     48     51  proved   above by 3   (1.8s)
K_(2,5,5)      12   45     56     56    OPEN   reproduces A   (1.9s)
K_(3,3,6)      12   45     55     55    OPEN   reproduces A   (1.9s)
K_(2,3,8)      13   46     56     56  proved   reproduces A   (2.0s)
K_(3,4,5)      12   47     62     62    OPEN   reproduces A   (2.2s)
K_(4,4,4)      12   48     60     62    OPEN   above by 2   (2.3s)
K_(2,4,7)      13   50     68     69  proved   above by 1   (2.7s)
K_(3,3,7)      13   51     75     75    OPEN   reproduces A   (3.0s)
K_(2,5,6)      13   52     78     79    OPEN   above by 1   (3.4s)
K_(3,4,6)      13   54     86     86    OPEN   reproduces A   (3.7s)
K_(3,5,5)      13   55     92     92    OPEN   reproduces A   (3.9s)
K_(2,4,8)      14   56     88     90  proved   above by 2   (4.0s)
K_(4,4,5)      13   56     92     95    OPEN   above by 3   (4.2s)
K_(3,3,8)      14   57     97     98    OPEN   above by 1   (4.3s)
K_(2,5,7)      14   59    109    109    OPEN   reproduces A   (5.0s)
K_(2,6,6)      14   60    108    113    OPEN   above by 5   (5.4s)
K_(3,4,7)      14   61    117    117    OPEN   reproduces A   (5.4s)
K_(3,5,6)      14   63    127    129    OPEN   above by 2   (5.8s)
K_(4,4,6)      14   64    124    128    OPEN   above by 4   (5.9s)
K_(4,5,5)      14   65    136    136    OPEN   reproduces A   (6.7s)
K_(2,5,8)      15   66    140    140    OPEN   reproduces A   (7.2s)
K_(2,6,7)      15   68    150    154    OPEN   above by 4   (7.5s)
K_(3,4,8)      15   68    150    151    OPEN   above by 1   (7.4s)
K_(3,5,7)      15   71    169    170    OPEN   above by 1   (8.6s)
K_(3,6,6)      15   72    174    176    OPEN   above by 2   (9.0s)
K_(4,4,7)      15   72    168    176    OPEN   above by 8   (9.1s)
K_(4,5,6)      15   74    182    185    OPEN   above by 3   (9.9s)
K_(5,5,5)      15   75    192    193    OPEN   above by 1   (10.4s)
K_(2,6,8)      16   76    192    204    OPEN   above by 12   (11.0s)
K_(2,7,7)      16   77    207    209    OPEN   above by 2   (11.8s)
K_(3,5,8)      16   79    216    218    OPEN   above by 2   (12.0s)
K_(4,4,8)      16   80    212    222    OPEN   above by 10   (12.9s)
K_(3,6,7)      16   81    231    234    OPEN   above by 3   (13.6s)
K_(4,5,7)      16   83    242    247    OPEN   above by 5   (14.7s)
K_(4,6,6)      16   84    240    251    OPEN   above by 11   (15.2s)
K_(5,5,6)      16   85    256    259    OPEN   above by 3   (16.0s)

=== counterexamples ===
none
