  validate cr(K7) = 9, expected 9  OK
  validate cr(K8) = 18, expected 18  OK
  validate cr(K5,5) = 16, expected 16  OK

=== less balanced triples (max part >= 3x min) ===
               graph  |V|  |E|  Harborth  found  verdict
         K_(1, 1, 3)    5    7         0      0  meets bound   (0.0s)
         K_(1, 1, 4)    6    9         0      0  meets bound   (0.0s)
         K_(1, 2, 3)    6   11         1      1  meets bound   (0.0s)
         K_(1, 1, 5)    7   11         0      0  meets bound   (0.0s)
         K_(1, 2, 4)    7   14         2      2  meets bound   (0.1s)
         K_(1, 3, 3)    7   15         3      3  meets bound   (0.1s)
         K_(1, 1, 6)    8   13         0      0  meets bound   (0.0s)
         K_(1, 2, 5)    8   17         4      4  meets bound   (0.1s)
         K_(1, 3, 4)    8   19         6      6  meets bound   (0.2s)
         K_(1, 1, 7)    9   15         0      0  meets bound   (0.0s)
         K_(1, 2, 6)    9   20         6      6  meets bound   (0.2s)
         K_(1, 3, 5)    9   23        10     10  meets bound   (0.3s)
         K_(1, 4, 4)    9   24        12     12  meets bound   (0.3s)
         K_(1, 1, 8)   10   17         0      0  meets bound   (0.1s)
         K_(1, 2, 7)   10   23         9      9  meets bound   (0.3s)
         K_(1, 3, 6)   10   27        15     15  meets bound   (0.5s)
         K_(1, 4, 5)   10   29        20     20  meets bound   (0.6s)
         K_(2, 2, 6)   10   28        12     13  above by 1   (0.5s)
         K_(1, 1, 9)   11   19         0      0  meets bound   (0.1s)
         K_(1, 2, 8)   11   26        12     12  meets bound   (0.4s)
         K_(1, 3, 7)   11   31        21     21  meets bound   (0.7s)
         K_(1, 4, 6)   11   34        30     30  meets bound   (0.9s)
         K_(1, 5, 5)   11   35        32     32  meets bound   (1.0s)
         K_(2, 2, 7)   11   32        18     18  meets bound   (0.7s)
         K_(2, 3, 6)   11   36        30     30  meets bound   (1.0s)
        K_(1, 1, 10)   12   21         0      0  meets bound   (0.1s)
         K_(1, 2, 9)   12   29        16     16  meets bound   (0.5s)
         K_(1, 3, 8)   12   35        28     28  meets bound   (0.9s)
         K_(1, 4, 7)   12   39        42     42  meets bound   (1.4s)
         K_(1, 5, 6)   12   41        48     48  meets bound   (1.7s)
         K_(2, 2, 8)   12   36        24     24  meets bound   (0.9s)
         K_(2, 3, 7)   12   41        43     43  meets bound   (1.5s)
         K_(2, 4, 6)   12   44        48     48  meets bound   (1.8s)
        K_(1, 1, 11)   13   23         0      0  meets bound   (0.1s)
        K_(1, 2, 10)   13   32        20     20  meets bound   (0.6s)
         K_(1, 3, 9)   13   39        36     36  meets bound   (1.3s)
         K_(1, 4, 8)   13   44        56     56  meets bound   (1.9s)
         K_(1, 5, 7)   13   47        66     66  meets bound   (2.5s)
         K_(1, 6, 6)   13   48        72     72  meets bound   (2.7s)
         K_(2, 2, 9)   13   40        32     32  meets bound   (1.2s)
         K_(2, 3, 8)   13   46        56     57  above by 1   (2.0s)
         K_(2, 4, 7)   13   50        68     69  above by 1   (2.8s)
         K_(2, 5, 6)   13   52        78     80  above by 2   (3.2s)
        K_(1, 1, 12)   14   25         0      0  meets bound   (0.1s)
        K_(1, 2, 11)   14   35        25     25  meets bound   (0.7s)
        K_(1, 3, 10)   14   43        45     45  meets bound   (1.6s)
         K_(1, 4, 9)   14   49        72     72  meets bound   (2.6s)
         K_(1, 5, 8)   14   53        88     88  meets bound   (3.6s)
         K_(1, 6, 7)   14   55        99     99  meets bound   (4.1s)
        K_(2, 2, 10)   14   44        40     42  above by 2   (1.6s)
         K_(2, 3, 9)   14   51        73     73  meets bound   (2.8s)
         K_(2, 4, 8)   14   56        88     92  above by 4   (4.1s)
         K_(2, 5, 7)   14   59       109    109  meets bound   (4.9s)
         K_(2, 6, 6)   14   60       108    109  above by 1   (5.2s)
        K_(1, 1, 13)   15   27         0      0  meets bound   (0.1s)
        K_(1, 2, 12)   15   38        30     30  meets bound   (0.9s)
        K_(1, 3, 11)   15   47        55     55  meets bound   (2.0s)
        K_(1, 4, 10)   15   54        90     90  meets bound   (3.6s)
         K_(1, 5, 9)   15   59       112    114  above by 2   (5.0s)
         K_(1, 6, 8)   15   62       132    133  above by 1   (6.0s)
         K_(1, 7, 7)   15   63       135    138  above by 3   (6.5s)
        K_(2, 2, 11)   15   48        50     54  above by 4   (2.1s)
        K_(2, 3, 10)   15   56        90     92  above by 2   (3.8s)
         K_(2, 4, 9)   15   62       114    118  above by 4   (5.5s)
         K_(2, 5, 8)   15   66       140    142  above by 2   (7.1s)
         K_(2, 6, 7)   15   68       150    155  above by 5   (8.0s)
         K_(3, 3, 9)   15   63       123    123  meets bound   (5.9s)
        K_(1, 1, 14)   16   29         0      0  meets bound   (0.2s)
        K_(1, 2, 13)   16   41        36     36  meets bound   (1.0s)
        K_(1, 3, 12)   16   51        66     66  meets bound   (2.6s)
        K_(1, 4, 11)   16   59       110    110  meets bound   (4.6s)
        K_(1, 5, 10)   16   65       140    143  above by 3   (6.7s)
         K_(1, 6, 9)   16   69       168    171  above by 3   (8.5s)
         K_(1, 7, 8)   16   71       180    184  above by 4   (9.4s)
        K_(2, 2, 12)   16   52        60     64  above by 4   (2.6s)
        K_(2, 3, 11)   16   61       111    111  meets bound   (5.1s)
        K_(2, 4, 10)   16   68       140    145  above by 5   (7.7s)
         K_(2, 5, 9)   16   73       180    180  meets bound   (9.9s)
         K_(2, 6, 8)   16   76       192    199  above by 7   (11.7s)
         K_(2, 7, 7)   16   77       207    209  above by 2   (12.5s)
        K_(3, 3, 10)   16   69       151    153  above by 2   (8.2s)
         K_(3, 4, 9)   16   75       190    193  above by 3   (10.7s)
        K_(1, 2, 14)   17   44        42     42  meets bound   (1.3s)
        K_(1, 3, 13)   17   55        78     79  above by 1   (3.4s)
        K_(1, 4, 12)   17   64       132    133  above by 1   (6.6s)
        K_(1, 5, 11)   17   71       170    173  above by 3   (9.9s)
        K_(1, 6, 10)   17   76       210    213  above by 3   (12.4s)
         K_(1, 7, 9)   17   79       228    232  above by 4   (14.1s)
         K_(1, 8, 8)   17   80       240    242  above by 2   (14.7s)
        K_(2, 2, 13)   17   56        72     72  meets bound   (3.4s)
        K_(2, 3, 12)   17   66       132    133  above by 1   (6.3s)
        K_(2, 4, 11)   17   74       172    178  above by 6   (10.1s)
        K_(2, 5, 10)   17   80       220    223  above by 3   (13.6s)
         K_(2, 6, 9)   17   84       246    250  above by 4   (16.5s)
         K_(2, 7, 8)   17   86       264    269  above by 5   (17.7s)
        K_(3, 3, 11)   17   75       183    188  above by 5   (10.6s)
        K_(3, 4, 10)   17   82       232    237  above by 5   (15.0s)
         K_(3, 5, 9)   17   87       270    277  above by 7   (18.3s)
        K_(1, 3, 14)   18   59        91     91  meets bound   (3.9s)
        K_(1, 4, 13)   18   69       156    158  above by 2   (7.5s)
        K_(1, 5, 12)   18   77       204    207  above by 3   (11.9s)
        K_(1, 6, 11)   18   83       255    257  above by 2   (15.7s)
        K_(1, 7, 10)   18   87       285    292  above by 7   (18.9s)
         K_(1, 8, 9)   18   89       304    308  above by 4   (21.5s)
        K_(2, 2, 14)   18   60        84     92  above by 8   (4.2s)
        K_(2, 3, 13)   18   71       157    157  meets bound   (8.1s)
        K_(2, 4, 12)   18   80       204    212  above by 8   (12.7s)
        K_(2, 5, 11)   18   87       269    272  above by 3   (18.1s)
        K_(2, 6, 10)   18   92       300    307  above by 7   (22.2s)
         K_(2, 7, 9)   18   95       337    343  above by 6   (27.5s)
         K_(2, 8, 8)   18   96       336    346  above by 10   (27.7s)
        K_(3, 3, 12)   18   81       217    223  above by 6   (14.5s)
        K_(3, 4, 11)   18   89       281    284  above by 3   (20.2s)
        K_(3, 5, 10)   18   95       329    335  above by 6   (26.1s)
         K_(3, 6, 9)   18   99       367    377  above by 10   (29.6s)
-- less balanced triples (max part >= 3x min): meets 62/115 = 0.54

=== k = 4 parts ===
               graph  |V|  |E|  Harborth  found  verdict
      K_(1, 1, 1, 3)    6   12         1      1  meets bound   (0.0s)
      K_(1, 1, 2, 2)    6   13         1      1  meets bound   (0.1s)
      K_(1, 1, 1, 4)    7   15         2      2  meets bound   (0.1s)
      K_(1, 1, 2, 3)    7   17         3      3  meets bound   (0.1s)
      K_(1, 2, 2, 2)    7   18         3      3  meets bound   (0.1s)
      K_(1, 1, 1, 5)    8   18         4      4  meets bound   (0.1s)
      K_(1, 1, 2, 4)    8   21         6      6  meets bound   (0.2s)
      K_(1, 1, 3, 3)    8   22         8      8  meets bound   (0.2s)
      K_(1, 2, 2, 3)    8   23         8      8  meets bound   (0.3s)
      K_(2, 2, 2, 2)    8   24         6      6  meets bound   (0.3s)
      K_(1, 1, 1, 6)    9   21         6      6  meets bound   (0.2s)
      K_(1, 1, 2, 5)    9   25        10     10  meets bound   (0.3s)
      K_(1, 1, 3, 4)    9   27        14     14  meets bound   (0.4s)
      K_(1, 2, 2, 4)    9   28        14     14  meets bound   (0.5s)
      K_(1, 2, 3, 3)    9   29        16     16  meets bound   (0.5s)
      K_(2, 2, 2, 3)    9   30        15     15  meets bound   (0.6s)
      K_(1, 1, 2, 6)   10   29        15     15  meets bound   (0.5s)
