0|1|9,10|7,8|5,6|2|3|4
0|10|9|7,8|4,5,6|1|2|3
10|3,7|9|8|4,5,6|0|1|2
10|4,5|8|9|3,6,7|0|1|2
10|3,6|9|2,7|4,5|8|0|1
10|2,8|9|3,6|4,5|7|0|1
7|9|2,5|3,4|8,10|6|0|1
6|7|9|3,4,5|8,10|0|1|2
10|3,5|8|6,7|4,9|0|1|2
8|6|9|3,4,5|7,10|0|1|2
10|8,9|7|3,5|4,6|0|1|2
8|9,10|7|3,5|4,6|0|1|2
8|6|7|9,10|3,4,5|0|1|2
8|10|6|3,4,5|7,9|0|1|2
2,6|7|9|8|3,4,5|10|0|1
8|9|2,6|3,5|4,7|10|0|1
8|3,5|9|6,7|4,10|0|1|2
8|3,5|4|9,10|6,7|0|1|2
3,5|4|9|8|2,6,7|10|0|1
9|1,7|2,5|3,4|6|8|10|0
4,5|9|7|2,6|3,8|10|0|1
6|4,5|9|7,8|3,10|0|1|2
4,5|10|7,8|6|3,9|0|1|2
3,5|4|9|7,8|2,6|10|0|1
3,5|7|9|2,6|4,8|10|0|1
10|7|2,6|3,9|4,5|8|0|1
2,6|9|7|3,10|4,5|8|0|1
2,6|3|9,10|7|4,5|8|0|1
2,6|3|9|7,8|4,5|10|0|1
