components not 2-crossing-critical as drawn: 20
  (12, 20): least k = 3, 13860 matchings, 23 critical ['CRIT2'], of which 0 have minimum degree >= 3
  (12, 20): least k = 2, 1485 matchings, 1 critical ['CRIT2'], of which 1 have minimum degree >= 3
  (11, 18): least k = 1, 55 matchings, 1 critical ['CRIT2'], of which 1 have minimum degree >= 3
  (11, 20): least k = 2, 990 matchings, 4 critical ['CRIT2'], of which 4 have minimum degree >= 3
  (12, 19): least k = 2, 1485 matchings, 12 critical ['CRIT2'], of which 12 have minimum degree >= 3
  (13, 21): least k = 3, 25740 matchings, 26 critical ['CRIT2'], of which 2 have minimum degree >= 3
  (14, 22): no matching of <= 3 pairs is 2-crossing-critical
  (12, 20): least k = 2, 1485 matchings, 4 critical ['CRIT2'], of which 4 have minimum degree >= 3
  (11, 19): least k = 1, 55 matchings, 1 critical ['CRIT2'], of which 1 have minimum degree >= 3
  (10, 19): least k = 1, 45 matchings, 1 critical ['CRIT2'], of which 1 have minimum degree >= 3
  (11, 20): least k = 1, 55 matchings, 1 critical ['CRIT2'], of which 1 have minimum degree >= 3
  (11, 20): least k = 1, 55 matchings, 2 critical ['CRIT2'], of which 1 have minimum degree >= 3
  (13, 22): least k = 2, 2145 matchings, 10 critical ['CRIT2'], of which 4 have minimum degree >= 3
  (12, 21): least k = 2, 1485 matchings, 6 critical ['CRIT2'], of which 4 have minimum degree >= 3
  (12, 21): least k = 1, 66 matchings, 2 critical ['CRIT2'], of which 1 have minimum degree >= 3
  (14, 21): least k = 2, 3003 matchings, 10 critical ['CRIT2'], of which 4 have minimum degree >= 3
  (12, 19): least k = 1, 66 matchings, 2 critical ['CRIT2'], of which 1 have minimum degree >= 3
  (12, 19): least k = 1, 66 matchings, 1 critical ['CRIT2'], of which 1 have minimum degree >= 3
  (13, 20): least k = 1, 78 matchings, 2 critical ['CRIT2'], of which 1 have minimum degree >= 3
  (13, 20): least k = 2, 2145 matchings, 6 critical ['CRIT2'], of which 4 have minimum degree >= 3
total over the settled components: 115 critical, 48 with minimum degree >= 3
