adversarial soundness: my own two-page drawings against L(n,q)
   n= 12 q=  36  L=     6  drawing=     6  ok
   n= 12 q=  43  L=    14  drawing=    18  ok
   n= 12 q=  50  L=    34  drawing=    40  ok
   n= 12 q=  56  L=    58  drawing=    66  ok
   n= 12 q=  63  L=    93  drawing=   120  ok
   n= 12 q=  66  L=   114  drawing=   150  ok
   n= 16 q=  66  L=    31  drawing=    42  ok
   n= 16 q=  78  L=    80  drawing=    88  ok
   n= 16 q=  90  L=   136  drawing=   166  ok
   n= 16 q= 102  L=   217  drawing=   286  ok
   n= 16 q= 114  L=   337  drawing=   466  ok
   n= 16 q= 120  L=   420  drawing=   588  ok
   n= 20 q= 105  L=   122  drawing=   140  ok
   n= 20 q= 124  L=   221  drawing=   285  ok
   n= 20 q= 142  L=   358  drawing=   482  ok
   n= 20 q= 162  L=   587  drawing=   826  ok
   n= 20 q= 180  L=   891  drawing=  1276  ok
   n= 20 q= 190  L=  1122  drawing=  1620  ok
   n= 24 q= 152  L=   270  drawing=   346  ok
   n= 24 q= 179  L=   475  drawing=   656  ok
   n= 24 q= 207  L=   798  drawing=  1150  ok
   n= 24 q= 235  L=  1284  drawing=  1876  ok
   n= 24 q= 262  L=  1973  drawing=  2900  ok
   n= 24 q= 276  L=  2462  drawing=  3630  ok
   n= 28 q= 208  L=   521  drawing=   723  ok
   n= 28 q= 246  L=   929  drawing=  1368  ok
   n= 28 q= 284  L=  1550  drawing=  2326  ok
   n= 28 q= 321  L=  2451  drawing=  3678  ok
   n= 28 q= 359  L=  3812  drawing=  5711  ok
   n= 28 q= 378  L=  4745  drawing=  7098  ok
   n= 32 q= 273  L=   917  drawing=  1347  ok
   n= 32 q= 322  L=  1619  drawing=  2467  ok
   n= 32 q= 372  L=  2706  drawing=  4166  ok
   n= 32 q= 422  L=  4337  drawing=  6657  ok
   n= 32 q= 471  L=  6693  drawing= 10172  ok
   n= 32 q= 496  L=  8336  drawing= 12600  ok
   violations: 0
